TÁBUA,ALLG-72,AMERICAN EXPERIENCE,AT2000 (Suavizada 10%)_FEM,AT2000 (Suavizada 10%)_MAS,AT-2000 FEMALE,AT-2000 MALE,AT-2000 MEDIA,AT-49 FEMALE,AT-49 MALE,AT-50,AT-55,AT-71,AT-83 FEMALE (Basic),AT-83 FEMALE (IAM),AT-83 MALE (Basic),AT-83 MALE (IAM),BR-EMSmt-v.2010-f,BR-EMSmt-v.2010-m,BR-EMSsb-v.2010-f,BR-EMSsb-v.2010-m,CSG-60,CSO-41,CSO-58,CSO58 - FEM - AGE LAST,CSO58 - FEM - AGE NEAREST,CSO58 - MAS - AGE LAST,CSO58 - MAS - AGE NEAREST,CSO58 FEMALE,CSO58 MALE,CSO80,EB7-75,GAM-71 FEMALE,GAM-71 MALE,GAM-83 - FEMALE,GAM83_BÁSICA - FEMALE,GAM83_BÁSICA - MASC,GAM-83 - MASC,GAM-94 FEMALE,GAM-94MALE,GKF-95,GKM-70,GKM-80,GKM-95,GR-95 MALE,GR-95FEMALE,GRUPAL AMERICANA,HUNTER SEMITROPICAL,Prudential-50,RENTIERS FRANCAIS,Rentiers Français,RP-2000 FEMALE,RP-2000 MEDIA,RP-2000MALE,SGB-51,SGB-71,SGB-75,UP-94 FEMALE,UP-94 MALE,USTP-61,X-17,2012 IAM Basic Table – Male. ANB,2012 IAM Basic Table – Female. ANB,Tabla de Mortalidad RV-2004 – Hombres,Tabla de Mortalidad RV-2004 – Mujeres,CPM2014 Private – Male,CPM2014 Private – Female,2007 Standard Mortality Table for Post Annuitization - Male,2007 Standard Mortality Table for Post Annuitization - Female,CL5 (2010-2013),CL6 (2010-2013),IBGE 2006  Ambos os Sexos,IBGE 2007  Ambos os Sexos,IBGE 2008  Ambos os Sexos,IBGE 2009  Ambos os Sexos,IBGE 2012  Ambos os Sexos,IBGE 2012  Mulheres,IBGE 2012  Homens,IBGE 2013  Ambos os Sexos,IBGE 2013  Mulheres,IBGE 2013  Homens,IBGE 2014  Ambos os Sexos,IBGE 2014  Mulheres,IBGE 2014  Homens,IBGE 2015  Ambos os Sexos,IBGE 2015 Mulheres,IBGE 2015  Homens,IBGE 2016  Ambos os Sexos,IBGE 2016 Mulheres,IBGE 2016  Homens,IBGE 2017  Ambos os Sexos,IBGE 2017 Mulheres,IBGE 2017  Homens,IBGE 2018  Ambos os Sexos,IBGE 2018 Mulheres,IBGE 2018  Homens,IBGE 2019  Ambos os Sexos,IBGE 2019 Mulheres,IBGE 2019  Homens,IBGE 2020  Ambos os Sexos,IBGE 2020 Mulheres,IBGE 2020  Homens,BR-EMSmt-v.2015-f,BR-EMSmt-v.2015-m,BR-EMSsb-v.2015-f,BR-EMSsb-v.2015-m,BR-EMSmt-v.2021-f,BR-EMSmt-v.2021-m,BR-EMSsb-v.2021-f,BR-EMSsb-v.2021-m,BENTZIEN,Experiência CAP,GRUPAL AMERICANA,IAPC,IBA (FERROVIARIOS),MULLER,RP-2000 DISABLED FEMALE,RP-2000 DISABLED MALE,RRB-44,TASA/1927,WINKLEVOSS,ZIMMERMANN,ZIMMERMANN (FERR. ALEMAES),MI-2006 Masculino,MI-2006 Feminino,Pri-2012 Male Disabled Retiree,Pri-2012 Female Disabled Retiree,MI-85 Masculino,MI-85 Feminino,ALVARO VINDAS,GRUPO AMERICANA,HUNTER'S,IAPB-57 Forte,IAPB-57 FRACA,IBA (FERROVIARIOS),LIGHT FORTE,LIGHT MEDIA,LIGHT FRACA,MULLER,PRUDENTIAL (FERR. APOSENT.),RGPS-99/02 M.M,RRB-1944 Mod - Fem,RRB-1944 Mod - Masc,TASA-1927,WYATT 1985 ,ZIMMERMANN EMPR. ESCRIT,Atuários Ingleses,Hubbard Laffitte,J.P. Jansen,Kinkelin,Moser,Samuel Dumas
71,0.0454,0.06767,0.011117,0.018891,0.012339,0.021071,0.016705,0.023321,0.038272,0.041101,0.035436,0.02834,0.015698,0.012905,0.033727,0.023647,0.01202,0.02295,0.01006,0.0173,0.05686,0.06427,0.05415,0.0436032,0.04168,0.0563373,0.05415,0.03624,0.04709,0.0433,0.052275,0.019,0.040008,0.014128,0.015698,0.033727,0.030354,0.014953,0.025951,0.0164736,0.049141,0.0468165,0.035081,0.02175, 0.0092620,0.04714,0.08493,0.039509,0.0576,0.0576,0.018579,0.021575,0.02457,0.09823,0.068386,0.080994,0.016079,0.027905,0.04182,0.05415,0.013798,0.011011,0.02479963,0.00901097,0.01636,0.01069,0.01523,0.00429,0.01208,0.00746,0.031838520800315,0.03159845441658,0.031234438886355,0.030851937801438,0.027940023413085,0.02246763,0.034808864548945,0.025234080232016,0.020120939176655,0.031540906598634,0.026985441880274,0.02163511522122,0.033667761427781,0.026534230545871,0.021241195395912,0.033122500581264,0.026104,0.020866,0.032606,0.025688276260079,0.020498844634668,0.032105904944859,0.025292358002509,0.020150680976502,0.031624578006424,0.024913925085149,0.019830999909872,0.031162607057696,0.024564118342435,0.019519962451921,0.030728008663783,0.0124819,0.0202899,0.0097454,0.0166761,0.0156207259,0.023894204,0.0112028796,0.0184300559,0.0807,0.083306311452688,0.115,0.0807,,,0.04014,0.065841,0.092,,0.06056,0.081,0.08095,0.04569523,0.0254711,0.04234,0.03027,0.049938974,0.03183582,0.021734,0.01575,0.03249,0.0628,0.03886,,,,0.00,,,,0.0246,0.0164,,,0.18929,,18.236,,20.12,23.27,23.18
72,0.04994,0.07373,0.012386,0.020967,0.013734,0.023388,0.018561,0.025954,0.041771,0.04442,0.038756,0.03093,0.017955,0.014319,0.037078,0.026131,0.01312,0.02508,0.01102,0.01893,0.06158,0.06966,0.05865,0.0476512,0.04561,0.0608855,0.05865,0.03966,0.051,0.04765,0.056458,0.021911,0.043827,0.01616,0.017955,0.037078,0.03337,0.016506,0.028481,0.018916,0.053928,0.0514762,0.03914,0.023889, 0.0101510,0.04988,0.09251,0.042761,0.06266,0.06266,0.020665,0.023973,0.027281,0.107713,0.075048,0.088795,0.017748,0.030625,0.0453,0.05865,0.015195,0.01203,0.027166871,0.009733331,0.01808,0.01178,0.01594,0.0045,0.01355,0.008369,0.034508598765093,0.034267654779712,0.033891748347417,0.033495906111885,0.030420841952658,0.02463453,0.037789904689338,0.027454096115972,0.022037697408455,0.034230047454709,0.02940007682375,0.023735546937275,0.036579946168305,0.028918358679009,0.023308387009279,0.036003423597341,0.028454,0.0229,0.035455,0.028010617526268,0.02250006947452,0.034925317255608,0.027584171899225,0.022118387661168,0.034414649897799,0.027177528173255,0.021769201762131,0.03392108037714,0.02680278632803,0.021428976641401,0.033458564719305,0.0136001,0.0226976,0.010748,0.0187002,0.0171349675,0.0261708214,0.0123321401,0.0202639879,0.0864,0.086292848045036,0.115,0.0864,,,0.042851,0.069405,0.095,,0.06375,0.083,0.08484,0.04815265,0.02753988,0.04567,0.0324,0.053488989,0.034686705,0.024695,0.01936,0.03454,0.065,0.04344,,,,0.00,,,,0.0246,0.0164,,,0.22127,,19.692,,20.80,23.96,23.78
73,0.0549,0.08018,0.013871,0.023209,0.015391,0.025871,0.020631,0.028892,0.04562,0.047987,0.042346,0.0338,0.020534,0.01598,0.040756,0.028835,0.0143,0.0274,0.01204,0.02072,0.06642,0.0755,0.06326,0.0519144,0.04979,0.0656105,0.06326,0.0433,0.05501,0.05264,0.060731,0.025112,0.047489,0.018481,0.020534,0.040756,0.03668,0.018344,0.031201,0.0216123,0.059164,0.0565645,0.043549,0.026286, 0.0110540,0.0526,0.10077,0.046204,0.06819,0.06819,0.02297,0.026679,0.030387,0.118075,0.082003,0.097319,0.019724,0.033549,0.04915,0.06326,0.016834,0.013154,0.02973214,0.010640105,0.02007,0.01303,0.01726,0.00506,0.015387,0.009436,0.037378350936242,0.037139675910283,0.036746245668992,0.036334679825015,0.033173136389197,0.02705712,0.041074249699247,0.029901542548068,0.024169181205968,0.03717672248876,0.03207233486658,0.026079415626313,0.039781067985934,0.03155352229859,0.025615059610555,0.039166427247017,0.031051,0.02517,0.03858,0.030573587387448,0.024735760730055,0.038015671340168,0.030113260079641,0.024320167310498,0.037470655506793,0.029674582399051,0.023937491504268,0.036942983393269,0.029268072251775,0.023564923677866,0.036447782258106,0.0147735,0.0254119,0.0117749,0.0208752,0.0187982793,0.0286630797,0.0135736618,0.0222823196,0.0942,0.089570812233812,0.115,0.0942,,,0.045769,0.073292,0.099,,0.06713,0.085,0.08925,0.05097113,0.02986398,0.04937,0.03477,0.057331265,0.037816848,0.028066,0.02386,0.03667,0.0678,0.04856,,,,0.00,,,,0.0246,0.0164,,,0.25258,,21.50,,21.49,21.67,21.37
74,0.06024,0.08703,0.015592,0.025644,0.017326,0.028552,0.022939,0.032171,0.049852,0.051822,0.046226,0.03698,0.023435,0.017909,0.044876,0.031794,0.01558,0.02994,0.01313,0.02268,0.07153,0.08181,0.06812,0.0563373,0.05415,0.0706525,0.06812,0.04709,0.05923,0.05819,0.06521,0.028632,0.051221,0.021092,0.023435,0.044876,0.040388,0.020381,0.034051,0.0245675,0.06489,0.0621128,0.048308,0.028914, 0.0119610,0.05534,0.10987,0.049905,0.07424,0.07424,0.025458,0.029679,0.0339,0.129387,0.089417,0.106626,0.021915,0.036614,0.05342,0.06812,0.018733,0.014415,0.032576835,0.011772573,0.02236,0.01447,0.01873,0.00553,0.017686,0.01073,0.040462209710433,0.040227632722703,0.039811749889597,0.03938236178628,0.036198636008882,0.02973604,0.044669018572779,0.032612716378436,0.026551652652221,0.040417948187881,0.035004815741484,0.028668254772741,0.043278719601422,0.034442801106344,0.028162852795548,0.042619437246205,0.033898,0.027679,0.041991,0.033380790681169,0.02720730732457,0.041385276772549,0.032883232397694,0.026756895634125,0.040801085875379,0.032408834615487,0.026336877787246,0.040236604379885,0.031964361052805,0.025928823933844,0.039704127647415,0.0164225,0.0280659,0.0128002,0.0232898,0.0206242479,0.0313923232,0.0149418726,0.024504775,0.1014,0.09315432283493,0.114,0.1014,,,0.048895,0.077512,0.103,,0.07069,0.087,0.09429,0.05418505,0.03244533,0.05349,0.03742,0.061488458,0.041252522,0.031904,0.02924,0.03888,0.0712,0.05429,,,,0.00,,,,0.0246,0.0164,,,0.28856,,25.00,,22.19,25.41,21.98
75,0.06602,0.09437,0.017564,0.028304,0.019551,0.031477,0.025514,0.035829,0.054501,0.055946,0.050417,0.04049,0.026658,0.020127,0.049552,0.035046,0.01699,0.03273,0.01433,0.02483,0.07704,0.08864,0.07337,0.0608855,0.05865,0.0761643,0.07337,0.051,0.0638,0.06419,0.070004,0.032385,0.055293,0.023992,0.026658,0.049552,0.044597,0.022686,0.037211,0.0277862,0.071146,0.0681531,0.053416,0.031746, 0.0128780,0.05788,0.11972,0.053884,0.08085,0.08085,0.028106,0.03297,0.037834,0.141721,0.097453,0.116777,0.024393,0.040012,0.05799,0.07337,0.020905,0.015869,0.03579027,0.013192058,0.025,0.01615,0.02035,0.00632,0.020539,0.012332,0.043768943451085,0.043538754091828,0.043096979041693,0.042647565987054,0.039456421403806,0.03261603,0.048559852047706,0.035589880402661,0.029185917580221,0.043961265122995,0.038158851904786,0.03145016966209,0.047058330283406,0.037548831750914,0.030900525595771,0.046348225818877,0.036958,0.030375,0.045672,0.036396240486023,0.029863611559729,0.045019613140308,0.035858094658108,0.029376388829492,0.044391345045069,0.035344703190342,0.028916154916289,0.043786095683844,0.034858018633036,0.028470123290251,0.043211727617728,0.0182079,0.0298929,0.013845,0.0257844,0.0226288264,0.0343781881,0.0164517928,0.0269506554,0.1067,0.09705818491687,0.113,0.1098,,,0.05223,0.082067,0.106,,0.07444,0.089,0.10007,0.05787997,0.03532787,0.05806,0.04037,0.065984727,0.045022248,0.036275,0.03537,0.04117,0.075,0.0607,,,,0.00,,,,0.0246,0.0164,,,0.33091,,,,22.92,26.19,25.61
76,0.0723,0.10231,0.019805,0.03122,0.022075,0.034686,0.028381,0.039907,0.059609,0.060381,0.054941,0.04439,0.030205,0.022654,0.054876,0.038631,0.01856,0.03578,0.01566,0.02719,0.08314,0.09602,0.07918,0.0656105,0.06326,0.0823059,0.07918,0.05501,0.06885,0.07053,0.075299,0.036408,0.060068,0.027185,0.030205,0.054876,0.049388,0.025325,0.040858,0.0312732,0.077976,0.0747177,0.058875,0.034759, 0.0138680,0.06004,0.13053,0.058164,0.08806,0.08806,0.030966,0.036568,0.042169,0.155154,0.107087,0.127839,0.027231,0.043933,0.06296,0.07918,0.023367,0.017555,0.03930939,0.014907733,0.02801,0.01812,0.02208,0.00726,0.024017,0.014315,0.047326977215536,0.047097877801332,0.046629406658316,0.046159352991789,0.042953841012461,0.03571583,0.052746245343197,0.038793521415054,0.032017520551161,0.047792910720581,0.041545931186627,0.034446512193816,0.051124836467087,0.040885111834364,0.033849941848464,0.050360461551649,0.040244,0.03328,0.049632,0.039636144799313,0.032726459108036,0.048930613211211,0.039054712543695,0.032199577068863,0.048255281938058,0.03849993958506,0.031696522511956,0.047606128893439,0.037968647864217,0.031210031536479,0.046986925447172,0.0203084,0.0326954,0.0151097,0.0286674,0.0248314142,0.0376456477,0.0181160009,0.029635836,0.11405,0.101297889408993,0.112,0.1192,,,0.055777,0.086951,0.11,,0.07841,0.0972,0.1067,0.06196312,0.03846154,0.06312,0.04368,0.070845788,0.049156929,0.041252,0.04014,0.04354,0.08,0.06786,,,,0.00,,,,,,,,0.38147,,,,23.65,27.02,26.25
77,0.07914,0.11106,0.022328,0.034425,0.02491,0.038225,0.031568,0.044451,0.065216,0.06514,0.059821,0.04872,0.03408,0.025509,0.060842,0.042587,0.0203,0.03912,0.01714,0.02977,0.08998,0.10399,0.0857,0.0706525,0.06812,0.0892151,0.0857,0.05923,0.07452,0.07712,0.081234,0.040769,0.065924,0.030672,0.03408,0.060842,0.054758,0.028366,0.045171,0.0350334,0.085427,0.0818389,0.064683,0.037928, 0.0150040,0.06203,0.14226,0.062761,0.09593,0.09593,0.034105,0.040506,0.046906,0.169765,0.117963,0.13988,0.030501,0.04857,0.06867,0.0857,0.026155,0.0195,0.043202372,0.016981052,0.03146,0.02044,0.02412,0.00808,0.028162,0.016734,0.051179271958354,0.050944485830008,0.050449906940982,0.049960655731444,0.046765888964628,0.03913857,0.057267521024177,0.042233340594631,0.035066023562889,0.051915678794583,0.045242622420726,0.037758853695362,0.055523641745523,0.044528759877844,0.037112156649929,0.054704097433345,0.043835,0.036494,0.053923,0.043178595737338,0.035895884520334,0.053171096426318,0.042551639272731,0.035326334385722,0.052447815094616,0.041953374284892,0.034776718686937,0.051753775667653,0.041374781860708,0.034246217126013,0.051088553896257,0.0223018,0.0358784,0.0166446,0.0317212,0.0272495388,0.0412216511,0.0199506903,0.0325971686,0.12238,0.105889607395131,0.111,0.1292,,,0.059545,0.092149,0.115,,0.08259,0.1059,0.1143,0.06650117,0.04190592,0.06872,0.04739,0.076098958,0.053689995,0.046919,0.04401,0.04599,0.088,0.07587,,,,0.00,,,,,,,,0.44288,,,,21.40,27.92,26.89
78,0.08671,0.12083,0.025158,0.037948,0.028074,0.042132,0.035103,0.049513,0.071368,0.070253,0.065081,0.0535,0.038288,0.028717,0.06742,0.046951,0.02221,0.04278,0.01876,0.03261,0.09771,0.11259,0.09306,0.0761643,0.07337,0.0969267,0.09306,0.0638,0.08092,0.0839,0.087909,0.045472,0.072595,0.034459,0.038288,0.06742,0.060678,0.031727,0.050211,0.0390713,0.093549,0.0895481,0.07084,0.041232, 0.0163520,0.06407,0.15502,0.067697,0.10452,0.10452,0.037595,0.044859,0.052123,0.185633,0.130283,0.152972,0.034115,0.053991,0.07535,0.09306,0.029306,0.021758,0.047559585,0.019456671,0.03541,0.02315,0.0265,0.00939,0.032978,0.019619,0.055365605408001,0.055114603758986,0.054596398163924,0.054091080219392,0.050935771258587,0.04294255,0.06214880281255,0.045985124862141,0.038434164615542,0.056371762179579,0.049294287096102,0.041445347885732,0.060285372710053,0.048526085957071,0.040745015552835,0.059412250268232,0.047777,0.040076,0.05858,0.047071099273728,0.039428659199896,0.057778352880832,0.046396644247183,0.038812682023329,0.057008028969356,0.045753079747479,0.038212136322714,0.056269369781093,0.045124997720873,0.037633370496524,0.055558423618259,0.0247974,0.0398857,0.0186115,0.0348424,0.0299051555,0.0451314501,0.0219734791,0.0358570079,0.13189,0.110850178134944,0.11,0.1391,,,0.063545,0.09764,0.122,,0.087,0.115,0.12262,0.07149901,0.04569168,0.07491,0.05155,0.081773193,0.058657536,0.055371,0.04667,0.04852,0.095,0.08482,,,,0.00,,,,,,,,0.51909,,,,25.17,28.92,27.56
79,0.09516,0.13173,0.028341,0.041812,0.031612,0.046427,0.03902,0.055147,0.078113,0.075741,0.070747,0.05879,0.042832,0.032328,0.074583,0.051755,0.02431,0.04679,0.02055,0.03573,0.10625,0.12186,0.10119,0.0823059,0.07918,0.1053509,0.10119,0.06885,0.08799,0.09105,0.095268,0.050616,0.079692,0.038549,0.042832,0.074583,0.067125,0.035362,0.055861,0.0433919,0.102392,0.0978757,0.077348,0.044649, 0.0179720,0.06684,0.16893,0.072997,0.11386,0.11386,0.041506,0.049717,0.057927,0.202839,0.144029,0.167188,0.038024,0.060066,0.08302,0.10119,0.032858,0.024412,0.052421612,0.022378077,0.03993,0.02631,0.02924,0.01094,0.038437,0.022971,0.05990987224807,0.059631469187868,0.059091269509276,0.05857233242283,0.055483931729739,0.04713721,0.067427801850095,0.050093294634762,0.042180099808702,0.061189263383977,0.053718811925667,0.04551370625202,0.065444449252522,0.052893820639412,0.044755528660869,0.064517830980581,0.052087,0.044031,0.063634,0.051328342875103,0.043330683701381,0.062782510573199,0.050603565997825,0.042664106484278,0.061964766962974,0.049912084048618,0.04200779336891,0.061180611332299,0.049231434389603,0.041376113320403,0.060423041640833,0.0276023,0.0429656,0.0210603,0.0382344,0.0328239872,0.0494118483,0.0242064957,0.0394446464,0.1423,0.116197089861693,0.109,0.1503,,,0.067793,0.103392,0.132,,0.09165,0.1249,0.13304,0.07695472,0.04985048,0.08173,0.05622,0.087899104,0.064098425,0.060718,0.04942,0.05113,0.1042,0.09482,,,,0.00,,,,,,,,0.6132,,,,25.95,30.01,28.23
80,0.10452,0.14447,0.031933,0.046037,0.03558,0.051128,0.043354,0.061415,0.085503,0.081627,0.076847,0.0646,0.047717,0.036395,0.0823,0.057026,0.02674,0.05118,0.02264,0.03914,0.11548,0.13185,0.10998,0.0892151,0.0857,0.1143924,0.10998,0.07452,0.09564,0.09884,0.103168,0.056085,0.087431,0.042945,0.047717,0.0823,0.07407,0.039396,0.062027,0.0479999,0.112012,0.1068498,0.084205,0.048159, 0.0199170,,0.18397,0.078684,0.12403,0.12403,0.045879,0.055124,0.064368,0.221464,0.159043,0.182604,0.042361,0.066696,0.09208,0.10998,0.036927,0.027579,0.057838341,0.025831042,0.04507,0.03,0.03357,0.01275,0.044492,0.02677,1.00,1.00,1.00,1.00,0.059822387605511,0.05159005,0.07182900623984,0.054576939522576,0.046312418651206,0.066404146377611,0.057968165442501,0.049848167871611,0.069808741398629,0.057102130486808,0.049036281962054,0.068864660979809,0.056214751154151,0.048210380101748,0.06794407335325,0.055466517167865,0.047516498446022,0.067098724726173,0.054709535755329,0.046807098122895,0.066268733139684,0.053987527534827,0.046112925742685,0.065473760037761,0.053280468132941,0.045446200434011,0.064707063099294,0.0309387,0.0479174,0.0240473,0.0417852,0.0360314673,0.0540943479,0.0266704878,0.0433961328,0.156,0.121948452163564,0.112,0.1634,,,0.072312,0.109372,0.144,,0.09654,0.1355,0.14426,0.08286129,0.05441163,0.08922,0.06149,0.094508969,0.070054426,0.069084, ,0.05382,0.1136,,,,,0.00,,,,,,,,0.74399,,,,26.75,31.31,
81, ,0.1586,0.035985,0.050643,0.04003,0.05625,0.04814,0.068383,0.093593,0.087937,0.083411,0.0709,0.05295,0.040975,0.090538,0.062791,0.02962,0.05598,0.02516,0.04289,0.12532,0.1426,0.11935,0.0969267,0.09306,0.1239481,0.11935,0.08092,0.10378,0.10748,0.111553,0.061853,0.095445,0.047655,0.05295,0.090538,0.081484,0.043952,0.068615,0.0529,0.122464,0.1164961,0.091412,0.051743, 0.0222370,,0.20014,0.084782,0.13508,0.13508,0.05078,0.061411,0.072041,0.241589,,0.199296,0.04726,0.07378,,0.11935,0.041703,0.031501,0.064306301,0.029816983,0.05092,0.03428,0.03708,0.01486,0.051086,0.030989,,,,,0.064393366552202,0.05624025,0.076524555844761,0.058870214138382,0.050703305082987,0.070788169245827,0.062437443052989,0.054367713207496,0.07445532575017,0.061524624619561,0.053496580286132,0.073488208048459,0.060549319233851,0.052562268740472,0.072524432486361,0.05980853695666,0.051871895140299,0.071681451252273,0.059014660404974,0.051115164843932,0.070834574711658,0.058257708619945,0.050378903436048,0.070024415214773,0.057520092160208,0.049673159508742,0.069244465040748,0.034852,0.0528419,0.0273368,0.0457989,0.0395550131,0.0592134814,0.0293906119,0.0477439739,0.17137,0.128122958765566,0.126,0.1741,,,0.077135,0.115544,0.159,,0.10171,,0.15649,0.08926132,0.05943573,0.09741,0.06743,0.101636709,0.076570286,0.078608, ,0.05659,0.1232,,,,,0.00,,,,,,,,0.92,,,,,,
82, ,0.1743,0.040552,0.055651,0.045017,0.061809,0.053413,0.076121,0.102443,0.0947,0.090471,0.07767,0.058546,0.046121,0.099244,0.069081,0.03307,0.06125,0.02817,0.047,0.13563,0.15416,0.12917,0.1053509,0.10119,0.1339226,0.12917,0.08799,0.11232,0.11725,0.120277,0.067936,0.103691,0.052691,0.058546,0.099244,0.08932,0.049153,0.075532,0.058097,0.133806,0.1268364,0.098969,0.055383, 0.0249760,,0.21788,0.091319,0.14708,0.14708,0.056294,0.06839,0.080486,0.2632,,0.217339,0.052853,0.081217,,0.12917,0.046957,0.036122,0.071439348,0.034369371,0.05753,0.03922,0.04076,0.01726,0.058173,0.035598,,,,,0.069230057891343,0.06111807,0.08155592065385,0.063389522451937,0.055285196877619,0.075460404281041,0.067157852358266,0.059100562267148,0.079423810067994,0.066191621339395,0.058163745512451,0.07842723226459,0.065119723906815,0.057112630774506,0.077412784958844,0.064383168949804,0.056422621853075,0.076567931851837,0.063547011826836,0.055613356457032,0.075698863850478,0.062750050314968,0.054830144596,0.074868529004204,0.061977140346233,0.054080825392082,0.074070626331318,0.0394659,0.0586542,0.0307907,0.049948,0.0434281254,0.064808708,0.0323973578,0.0525348101,0.18711,0.134739839349202,0.141,0.1892,,,0.082298,0.121877,0.174,,0.10715,,,0.09609531,0.06491586,0.10631,0.07414,0.109317855,0.083693784,0.089453, ,0.05944,0.133,,,,,0.00,,,,,,,,1.00,,,,,,
83, ,0.19156,0.04569,0.06108,0.0506,0.067826,0.059213,0.084707,0.112113,0.101944,0.098061,0.08494,0.064523,0.051889,0.108361,0.075908,0.03711,0.06701,0.03176,0.0515,0.14635,0.16657,0.13938,0.1143924,0.10998,0.1442973,0.13938,0.09564,0.1212,0.12826,0.129281,0.074351,0.112303,0.058071,0.064523,0.108361,0.097525,0.054857,0.08251,0.0635957,0.146099,0.1378881,0.106876,0.059062, 0.0281520,,0.23677,0.098322,0.16009,0.16009,0.062506,0.076112,0.089718,0.28664,,0.23681,0.058986,0.088721,,0.13938,0.052713,0.041477,0.079188333,0.039516621,0.06496,0.0449,0.04457,0.0192,0.065722,0.040576,,,,,0.074371082053702,0.06625826,0.086972084494003,0.068167031431108,0.060087279924143,0.080461376146439,0.072165591719391,0.06407903723623,0.084760861437365,0.071138234335776,0.063069018533706,0.08372734730504,0.069959514006543,0.061891099120567,0.08265344559228,0.069223635022113,0.061198026838115,0.08180189416156,0.068338966162189,0.060330182792233,0.080904496235328,0.067496139780356,0.059494399682221,0.0800482264824,0.066682482658328,0.058696247558639,0.07922695910962,0.0444953,0.0638227,0.0342908,0.0544018,0.0476853125,0.0709234783,0.0357190201,0.0578148445,0.20057,0.141818798942715,0.158,0.2035,,,0.087838,0.128343,0.192,,0.11287,,,0.10334859,0.07087194,0.1159,0.08174,0.117589467,0.091475759,0.1018, ,0.06237,0.148,,,,,0.00,,,,,,,,1.00,,,,,,
84, ,0.21136,0.051456,0.066948,0.056865,0.074322,0.065594,0.094224,0.122669,0.109694,0.106217,0.09287,0.070897,0.058336,0.11783,0.08323,0.04185,0.07332,0.03577,0.05645,0.15751,0.17988,0.15001,0.1239481,0.11935,0.1551241,0.15001,0.10378,0.13045,0.14025,0.138597,0.081501,0.121116,0.063807,0.070897,0.11783,0.106047,0.060979,0.089613,0.0694009,0.159402,0.1496631,0.115132,0.062764, 0.0317130,,0.25721,0.105819,0.17417,0.17417,0.069517,0.084648,0.099779,0.311707,,0.257781,0.065569,0.096358,,0.15001,0.059148,0.047589,0.087572668,0.045282246,0.07327,0.05141,0.05068,0.02231,0.073729,0.045915,,,,,0.079861728452644,0.07170116,0.092831348308123,0.073240110803785,0.065143041487294,0.085838891521629,0.07750297092071,0.069340479013459,0.090521880554729,0.0764054420657,0.068248428814983,0.08944263700492,0.075107766137805,0.066931778072287,0.088298883793761,0.074368593680758,0.06623184764966,0.087435066300413,0.073428146758061,0.065298367962204,0.086502161073555,0.072532635776662,0.06440347444341,0.085613234712194,0.071671900555485,0.063550384544039,0.084762300132154,0.0497225,0.0694993,0.0381713,0.0597001,0.0523680636,0.0776062615,0.0393893076,0.0636241407,0.21224,0.149379943323869,0.178,0.2163,,,0.093794,0.134923,0.211,,0.1189,,,0.11100652,0.07731926,0.12618,0.09005,0.126490033,0.09997007,0.115859, ,0.06538,0.162,,,,,0.00,,,,,,,,1.00,,,,,,
85, ,0.23555,0.057913,0.073275,0.063907,0.081326,0.072617,0.10476,0.134178,0.117987,0.114977,0.10169,0.077687,0.065518,0.127595,0.090987,0.04749,0.08024,0.04042,0.06187,0.1692,0.19413,0.16114,0.1339226,0.12917,0.1664679,0.16114,0.11232,0.14012,0.15295,0.148276,0.089179,0.130102,0.069918,0.077687,0.127595,0.114836,0.067738,0.09724,0.0755172,0.173775,0.1621666,0.123739,0.066473, 0.0355900,,0.27978,0.113841,0.18939,0.18939,0.077446,0.094102,0.110757,0.338549,,0.280322,0.072836,0.104559,,0.16114,0.066505,0.054441,0.096606854,0.05168612,0.08252,0.05883,0.05498,0.02598,0.082223,0.051616,,,,,0.085755534051907,0.0774939,0.099203668227245,0.078652509908536,0.070491238284826,0.091649776397678,0.083219834351309,0.074928398223705,0.096773165701839,0.082041443165852,0.073743883985095,0.09563774160498,0.080610346989753,0.072274246874252,0.094411716804224,0.079863379597359,0.071563195857703,0.093529126047934,0.078858613060363,0.07055578977031,0.09255223056558,0.077902410974986,0.06959412870193,0.091622717324956,0.076987187280351,0.068678965723381,0.090734694895062,0.0559396,0.0773917,0.0428888,0.066509,0.0575149199,0.0849002274,0.0434512088,0.0700283914,0.22315,0.157443688718753,0.199,0.2314,,,0.100203,0.141603,0.236,,0.12524,,,0.11905492,0.08427022,0.13712,0.09867,0.136059311,0.109233505,0.131805, ,0.06847,0.186,,,,,0.00,,,,,,,,1.00,,,,,,
